S.No.,NepaliDescription,EnglishDescription,Description,Category,Rate (Rs. per 1000),,,,,,,,,,,,,,,,,,,,,,,,
1,एक करोड सम्मको सम्पत्तिको लागि रू. ०.५० पैसा प्रति हजार,For property up to Rs. 1 crore: Rs. 0.50 per thousand,For property up to Rs. 1 crore: Rs. 0.50 per thousand एक करोड सम्मको सम्पत्तिको लागि रू. ०.५० पैसा प्रति हजार,सामान्य जोखिम समह,0.5,,,,,,,,,,,,,,,,,,,,,,,,
2,इँटा तथा इँटा बिाउिे नचम्िी (काँचो इँटा बाहेक सबै प्रकािको इँटा),Brick (except Mud/Raw Brick),Brick (except Mud/Raw Brick) इँटा तथा इँटा बिाउिे नचम्िी (काँचो इँटा बाहेक सबै प्रकािको इँटा),सामान्य जोखिम समह,1.5,,,,,,,,,,,,,,,,,,,,,,,,
3,खािीबाट ढङर्ा निकाल्िे काम,Stone Quarries,Stone Quarries खािीबाट ढङर्ा निकाल्िे काम,सामान्य जोखिम समह,1.5,,,,,,,,,,,,,,,,,,,,,,,,
4,ग्रेिार्ट,Granite,Granite ग्रेिार्ट,सामान्य जोखिम समह,1.5,,,,,,,,,,,,,,,,,,,,,,,,
5,ढङर्ा कटि काम,Stone Crushing,Stone Crushing ढङर्ा कटि काम,सामान्य जोखिम समह,1.5,,,,,,,,,,,,,,,,,,,,,,,,
6,ढङर्ाको मनतकला,Stone Art,Stone Art ढङर्ाको मनतकला,सामान्य जोखिम समह,1.5,,,,,,,,,,,,,,,,,,,,,,,,
7,ढङर्ाको सामग्री,Stone ware,Stone ware ढङर्ाको सामग्री,सामान्य जोखिम समह,1.5,,,,,,,,,,,,,,,,,,,,,,,,
8,पोखिी,Pond/Pool,Pond/Pool पोखिी,सामान्य जोखिम समह,1.5,,,,,,,,,,,,,,,,,,,,,,,,
9,बालवा (नदपोमा िानखएको बालबा मात्र),Sand (only riverbed sand),Sand (only riverbed sand) बालवा (नदपोमा िानखएको बालबा मात्र),सामान्य जोखिम समह,1.5,,,,,,,,,,,,,,,,,,,,,,,,
10,माटो (पािी र्जन्य क्षनतको जोखिम बाहेक),Soil (except for water retention areas),Soil (except for water retention areas) माटो (पािी र्जन्य क्षनतको जोखिम बाहेक),सामान्य जोखिम समह,1.5,,,,,,,,,,,,,,,,,,,,,,,,
11,नसँहमिमि,Marble,Marble नसँहमिमि,सामान्य जोखिम समह,1.5,,,,,,,,,,,,,,,,,,,,,,,,
